"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2018 - 2019",DIV,"Mecklenburg County Public Schools","Economically Disadvantaged",2021,480,80.8,19.2
"2018 - 2019",DIV,"Mecklenburg County Public Schools","English Learners",90,4,95.7,4.3
"2018 - 2019",DIV,"Mecklenburg County Public Schools",Female,1617,309,84,16
"2018 - 2019",DIV,"Mecklenburg County Public Schools",Hispanic,161,15,91.5,8.5
"2018 - 2019",DIV,"Mecklenburg County Public Schools",Homeless,5,6,,
"2018 - 2019",DIV,"Mecklenburg County Public Schools",Male,1718,319,84.3,15.7
"2018 - 2019",DIV,"Mecklenburg County Public Schools","Multiple Races",142,38,78.9,21.1
"2018 - 2019",DIV,"Mecklenburg County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Mecklenburg County Public Schools","Students with Disabilities",398,94,80.9,19.1
"2018 - 2019",DIV,"Mecklenburg County Public Schools",White,1582,302,84,16
"2018 - 2019",DIV,"Middlesex County Public Schools","All Students",1032,134,88.5,11.5
"2018 - 2019",DIV,"Middlesex County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Middlesex County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Middlesex County Public Schools",Black,172,25,87.3,12.7
"2018 - 2019",DIV,"Middlesex County Public Schools","Economically Disadvantaged",537,102,84,16
"2018 - 2019",DIV,"Middlesex County Public Schools","English Learners",15,2,88.2,11.8
"2018 - 2019",DIV,"Middlesex County Public Schools",Female,496,64,88.6,11.4
"2018 - 2019",DIV,"Middlesex County Public Schools",Hispanic,37,9,80.4,19.6
"2018 - 2019",DIV,"Middlesex County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Middlesex County Public Schools",Male,536,70,88.4,11.6
"2018 - 2019",DIV,"Middlesex County Public Schools","Multiple Races",66,11,85.7,14.3
"2018 - 2019",DIV,"Middlesex County Public Schools","Students with Disabilities",181,31,85.4,14.6
"2018 - 2019",DIV,"Middlesex County Public Schools",White,752,87,89.6,10.4
"2018 - 2019",DIV,"Montgomery County Public Schools","All Students",8620,1087,88.8,11.2
"2018 - 2019",DIV,"Montgomery County Public Schools","American Indian",14,4,,
"2018 - 2019",DIV,"Montgomery County Public Schools",Asian,367,23,94.1,5.9
"2018 - 2019",DIV,"Montgomery County Public Schools",Black,337,77,81.4,18.6
"2018 - 2019",DIV,"Montgomery County Public Schools","Economically Disadvantaged",2999,781,79.3,20.7
"2018 - 2019",DIV,"Montgomery County Public Schools","English Learners",398,30,93,7
"2018 - 2019",DIV,"Montgomery County Public Schools",Female,4169,504,89.2,10.8
"2018 - 2019",DIV,"Montgomery County Public Schools",Hispanic,469,60,88.7,11.3
"2018 - 2019",DIV,"Montgomery County Public Schools",Homeless,96,90,,
"2018 - 2019",DIV,"Montgomery County Public Schools",Male,4451,583,88.4,11.6
"2018 - 2019",DIV,"Montgomery County Public Schools","Multiple Races",420,63,87,13
"2018 - 2019",DIV,"Montgomery County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Montgomery County Public Schools","Students with Disabilities",815,194,80.8,19.2
"2018 - 2019",DIV,"Montgomery County Public Schools",White,7008,860,89.1,10.9
"2018 - 2019",DIV,"Nelson County Public Schools","All Students",1522,189,89,11
"2018 - 2019",DIV,"Nelson County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Nelson County Public Schools",Asian,<,<,66.7,33.3
"2018 - 2019",DIV,"Nelson County Public Schools",Black,198,25,88.8,11.2
"2018 - 2019",DIV,"Nelson County Public Schools","Economically Disadvantaged",758,147,83.8,16.2
"2018 - 2019",DIV,"Nelson County Public Schools","English Learners",49,5,90.7,9.3
"2018 - 2019",DIV,"Nelson County Public Schools",Female,736,86,89.5,10.5
"2018 - 2019",DIV,"Nelson County Public Schools",Hispanic,127,13,90.7,9.3
"2018 - 2019",DIV,"Nelson County Public Schools",Homeless,27,4,,
"2018 - 2019",DIV,"Nelson County Public Schools",Male,786,103,88.4,11.6
"2018 - 2019",DIV,"Nelson County Public Schools","Multiple Races",76,9,89.4,10.6
"2018 - 2019",DIV,"Nelson County Public Schools","Students with Disabilities",198,47,80.8,19.2
"2018 - 2019",DIV,"Nelson County Public Schools",White,1114,139,88.9,11.1
"2018 - 2019",DIV,"New Kent County Public Schools","All Students",2891,333,89.7,10.3
"2018 - 2019",DIV,"New Kent County Public Schools","American Indian",41,6,,
"2018 - 2019",DIV,"New Kent County Public Schools",Asian,33,2,94.3,5.7
"2018 - 2019",DIV,"New Kent County Public Schools",Black,285,39,88,12
"2018 - 2019",DIV,"New Kent County Public Schools","Economically Disadvantaged",648,154,80.8,19.2
"2018 - 2019",DIV,"New Kent County Public Schools","English Learners",41,3,93.2,6.8
"2018 - 2019",DIV,"New Kent County Public Schools",Female,1388,182,88.4,11.6
"2018 - 2019",DIV,"New Kent County Public Schools",Hispanic,162,22,88,12
"2018 - 2019",DIV,"New Kent County Public Schools",Homeless,13,10,,
"2018 - 2019",DIV,"New Kent County Public Schools",Male,1503,151,90.9,9.1
"2018 - 2019",DIV,"New Kent County Public Schools","Multiple Races",132,21,86.3,13.7
"2018 - 2019",DIV,"New Kent County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"New Kent County Public Schools","Students with Disabilities",323,60,84.3,15.7
"2018 - 2019",DIV,"New Kent County Public Schools",White,2233,241,90.3,9.7
"2018 - 2019",DIV,"Newport News City Public Schools","All Students",22977,3995,85.2,14.8
"2018 - 2019",DIV,"Newport News City Public Schools","American Indian",66,8,,
"2018 - 2019",DIV,"Newport News City Public Schools",Asian,587,41,93.5,6.5
"2018 - 2019",DIV,"Newport News City Public Schools",Black,12120,2421,83.4,16.6
"2018 - 2019",DIV,"Newport News City Public Schools","Economically Disadvantaged",11757,2862,80.4,19.6
"2018 - 2019",DIV,"Newport News City Public Schools","English Learners",1756,179,90.7,9.3
"2018 - 2019",DIV,"Newport News City Public Schools",Female,11272,1917,85.5,14.5
"2018 - 2019",DIV,"Newport News City Public Schools",Hispanic,3218,486,86.9,13.1
"2018 - 2019",DIV,"Newport News City Public Schools",Homeless,392,254,,
"2018 - 2019",DIV,"Newport News City Public Schools",Male,11705,2078,84.9,15.1
"2018 - 2019",DIV,"Newport News City Public Schools","Multiple Races",1543,259,85.6,14.4
"2018 - 2019",DIV,"Newport News City Public Schools","Native Hawaiian",83,20,,
"2018 - 2019",DIV,"Newport News City Public Schools","Students with Disabilities",2805,744,79,21
"2018 - 2019",DIV,"Newport News City Public Schools",White,5360,760,87.6,12.4
"2018 - 2019",DIV,"Norfolk City Public Schools","All Students",23715,4292,84.7,15.3
"2018 - 2019",DIV,"Norfolk City Public Schools","American Indian",91,17,,
"2018 - 2019",DIV,"Norfolk City Public Schools",Asian,616,27,95.8,4.2
"2018 - 2019",DIV,"Norfolk City Public Schools",Black,13479,2903,82.3,17.7
"2018 - 2019",DIV,"Norfolk City Public Schools","Economically Disadvantaged",14239,3398,80.7,19.3
"2018 - 2019",DIV,"Norfolk City Public Schools","English Learners",1152,212,84.5,15.5
"2018 - 2019",DIV,"Norfolk City Public Schools",Female,11644,2107,84.7,15.3
"2018 - 2019",DIV,"Norfolk City Public Schools",Hispanic,2427,451,84.3,15.7
"2018 - 2019",DIV,"Norfolk City Public Schools",Homeless,315,235,,
"2018 - 2019",DIV,"Norfolk City Public Schools",Male,12071,2185,84.7,15.3
"2018 - 2019",DIV,"Norfolk City Public Schools","Multiple Races",1565,264,85.6,14.4
"2018 - 2019",DIV,"Norfolk City Public Schools","Native Hawaiian",78,10,,
"2018 - 2019",DIV,"Norfolk City Public Schools","Students with Disabilities",3250,801,80.2,19.8
"2018 - 2019",DIV,"Norfolk City Public Schools",White,5459,620,89.8,10.2
"2018 - 2019",DIV,"Northampton County Public Schools","All Students",1241,240,83.8,16.2
"2018 - 2019",DIV,"Northampton County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Northampton County Public Schools",Asian,11,3,78.6,21.4
"2018 - 2019",DIV,"Northampton County Public Schools",Black,546,105,83.9,16.1
"2018 - 2019",DIV,"Northampton County Public Schools","Economically Disadvantaged",999,208,82.8,17.2
"2018 - 2019",DIV,"Northampton County Public Schools","English Learners",174,19,90.2,9.8
"2018 - 2019",DIV,"Northampton County Public Schools",Female,584,106,84.6,15.4
"2018 - 2019",DIV,"Northampton County Public Schools",Hispanic,275,36,88.4,11.6
"2018 - 2019",DIV,"Northampton County Public Schools",Homeless,81,20,,
"2018 - 2019",DIV,"Northampton County Public Schools",Male,657,134,83.1,16.9
"2018 - 2019",DIV,"Northampton County Public Schools","Multiple Races",35,15,70,30
"2018 - 2019",DIV,"Northampton County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Northampton County Public Schools","Students with Disabilities",183,48,79.2,20.8
"2018 - 2019",DIV,"Northampton County Public Schools",White,370,80,82.2,17.8
"2018 - 2019",DIV,"Northumberland County Public Schools","All Students",1094,145,88.3,11.7
"2018 - 2019",DIV,"Northumberland County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Northumberland County Public Schools",Black,435,64,87.2,12.8
"2018 - 2019",DIV,"Northumberland County Public Schools","Economically Disadvantaged",622,122,83.6,16.4
"2018 - 2019",DIV,"Northumberland County Public Schools","English Learners",44,4,91.7,8.3
"2018 - 2019",DIV,"Northumberland County Public Schools",Female,519,71,88,12
"2018 - 2019",DIV,"Northumberland County Public Schools",Hispanic,75,7,91.5,8.5
"2018 - 2019",DIV,"Northumberland County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Northumberland County Public Schools",Male,575,74,88.6,11.4
"2018 - 2019",DIV,"Northumberland County Public Schools","Multiple Races",36,10,78.3,21.7
"2018 - 2019",DIV,"Northumberland County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Northumberland County Public Schools","Students with Disabilities",160,27,85.6,14.4
"2018 - 2019",DIV,"Northumberland County Public Schools",White,541,64,89.4,10.6
"2018 - 2019",DIV,"Norton City Public Schools","All Students",665,122,84.5,15.5
"2018 - 2019",DIV,"Norton City Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Norton City Public Schools",Black,42,5,89.4,10.6
"2018 - 2019",DIV,"Norton City Public Schools","Economically Disadvantaged",413,95,81.3,18.7
"2018 - 2019",DIV,"Norton City Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Norton City Public Schools",Female,327,67,83,17
"2018 - 2019",DIV,"Norton City Public Schools",Hispanic,17,3,85,15
"2018 - 2019",DIV,"Norton City Public Schools",Homeless,18,2,,
"2018 - 2019",DIV,"Norton City Public Schools",Male,338,55,86,14
"2018 - 2019",DIV,"Norton City Public Schools","Multiple Races",37,11,77.1,22.9
"2018 - 2019",DIV,"Norton City Public Schools","Students with Disabilities",103,20,83.7,16.3
"2018 - 2019",DIV,"Norton City Public Schools",White,564,103,84.6,15.4
"2018 - 2019",DIV,"Nottoway County Public Schools","All Students",1646,283,85.3,14.7
"2018 - 2019",DIV,"Nottoway County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Nottoway County Public Schools",Asian,13,0,100,0
"2018 - 2019",DIV,"Nottoway County Public Schools",Black,710,114,86.2,13.8
"2018 - 2019",DIV,"Nottoway County Public Schools","Economically Disadvantaged",1058,223,82.6,17.4
"2018 - 2019",DIV,"Nottoway County Public Schools","English Learners",88,20,81.5,18.5
"2018 - 2019",DIV,"Nottoway County Public Schools",Female,841,124,87.2,12.8
"2018 - 2019",DIV,"Nottoway County Public Schools",Hispanic,153,27,85,15
"2018 - 2019",DIV,"Nottoway County Public Schools",Homeless,17,4,,
"2018 - 2019",DIV,"Nottoway County Public Schools",Male,805,159,83.5,16.5
"2018 - 2019",DIV,"Nottoway County Public Schools","Multiple Races",69,24,74.2,25.8
"2018 - 2019",DIV,"Nottoway County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Nottoway County Public Schools","Students with Disabilities",181,54,77,23
"2018 - 2019",DIV,"Nottoway County Public Schools",White,695,118,85.5,14.5
"2018 - 2019",DIV,"Orange County Public Schools","All Students",4110,658,86.2,13.8
"2018 - 2019",DIV,"Orange County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Orange County Public Schools",Asian,31,2,93.9,6.1
"2018 - 2019",DIV,"Orange County Public Schools",Black,541,78,87.4,12.6
"2018 - 2019",DIV,"Orange County Public Schools","Economically Disadvantaged",1716,391,81.4,18.6
"2018 - 2019",DIV,"Orange County Public Schools","English Learners",206,23,90,10
"2018 - 2019",DIV,"Orange County Public Schools",Female,2088,295,87.6,12.4
"2018 - 2019",DIV,"Orange County Public Schools",Hispanic,369,55,87,13
"2018 - 2019",DIV,"Orange County Public Schools",Homeless,28,12,,
"2018 - 2019",DIV,"Orange County Public Schools",Male,2022,363,84.8,15.2
"2018 - 2019",DIV,"Orange County Public Schools","Multiple Races",370,76,83,17
"2018 - 2019",DIV,"Orange County Public Schools","Native Hawaiian",14,0,,
"2018 - 2019",DIV,"Orange County Public Schools","Students with Disabilities",447,111,80.1,19.9
"2018 - 2019",DIV,"Orange County Public Schools",White,2781,444,86.2,13.8
"2018 - 2019",DIV,"Page County Public Schools","All Students",2759,481,85.2,14.8
"2018 - 2019",DIV,"Page County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Page County Public Schools",Asian,13,2,86.7,13.3
"2018 - 2019",DIV,"Page County Public Schools",Black,62,10,86.1,13.9
"2018 - 2019",DIV,"Page County Public Schools","Economically Disadvantaged",1432,355,80.1,19.9
"2018 - 2019",DIV,"Page County Public Schools","English Learners",31,3,91.2,8.8
"2018 - 2019",DIV,"Page County Public Schools",Female,1341,234,85.1,14.9
"2018 - 2019",DIV,"Page County Public Schools",Hispanic,91,20,82,18
"2018 - 2019",DIV,"Page County Public Schools",Homeless,41,22,,
"2018 - 2019",DIV,"Page County Public Schools",Male,1418,247,85.2,14.8
"2018 - 2019",DIV,"Page County Public Schools","Multiple Races",66,9,88,12
"2018 - 2019",DIV,"Page County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Page County Public Schools","Students with Disabilities",287,76,79.1,20.9
"2018 - 2019",DIV,"Page County Public Schools",White,2523,439,85.2,14.8
"2018 - 2019",DIV,"Patrick County Public Schools","All Students",2223,212,91.3,8.7
"2018 - 2019",DIV,"Patrick County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Patrick County Public Schools",Asian,27,2,93.1,6.9
"2018 - 2019",DIV,"Patrick County Public Schools",Black,161,14,92,8
"2018 - 2019",DIV,"Patrick County Public Schools","Economically Disadvantaged",1102,170,86.6,13.4
"2018 - 2019",DIV,"Patrick County Public Schools","English Learners",89,5,94.7,5.3
"2018 - 2019",DIV,"Patrick County Public Schools",Female,1067,115,90.3,9.7
"2018 - 2019",DIV,"Patrick County Public Schools",Hispanic,161,18,89.9,10.1
"2018 - 2019",DIV,"Patrick County Public Schools",Homeless,26,9,,
"2018 - 2019",DIV,"Patrick County Public Schools",Male,1156,97,92.3,7.7
"2018 - 2019",DIV,"Patrick County Public Schools","Multiple Races",80,19,80.8,19.2
"2018 - 2019",DIV,"Patrick County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Patrick County Public Schools","Students with Disabilities",342,45,88.4,11.6
"2018 - 2019",DIV,"Patrick County Public Schools",White,1790,159,91.8,8.2
"2018 - 2019",DIV,"Petersburg City Public Schools","All Students",2873,924,75.7,24.3
"2018 - 2019",DIV,"Petersburg City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Petersburg City Public Schools",Asian,17,1,94.4,5.6
"2018 - 2019",DIV,"Petersburg City Public Schools",Black,2570,852,75.1,24.9
"2018 - 2019",DIV,"Petersburg City Public Schools","Economically Disadvantaged",2165,803,72.9,27.1
"2018 - 2019",DIV,"Petersburg City Public Schools","English Learners",183,24,88.4,11.6
"2018 - 2019",DIV,"Petersburg City Public Schools",Female,1405,438,76.2,23.8
"2018 - 2019",DIV,"Petersburg City Public Schools",Hispanic,178,36,83.2,16.8
"2018 - 2019",DIV,"Petersburg City Public Schools",Homeless,224,97,,
"2018 - 2019",DIV,"Petersburg City Public Schools",Male,1468,486,75.1,24.9
"2018 - 2019",DIV,"Petersburg City Public Schools","Multiple Races",24,5,82.8,17.2
"2018 - 2019",DIV,"Petersburg City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Petersburg City Public Schools","Students with Disabilities",318,135,70.2,29.8
"2018 - 2019",DIV,"Petersburg City Public Schools",White,78,28,73.6,26.4
"2018 - 2019",DIV,"Pittsylvania County Public Schools","All Students",7259,1178,86,14
"2018 - 2019",DIV,"Pittsylvania County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Pittsylvania County Public Schools",Asian,42,1,97.7,2.3
"2018 - 2019",DIV,"Pittsylvania County Public Schools",Black,1715,243,87.6,12.4
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Economically Disadvantaged",4209,930,81.9,18.1
"2018 - 2019",DIV,"Pittsylvania County Public Schools","English Learners",234,28,89.3,10.7
"2018 - 2019",DIV,"Pittsylvania County Public Schools",Female,3579,570,86.3,13.7
"2018 - 2019",DIV,"Pittsylvania County Public Schools",Hispanic,352,49,87.8,12.2
"2018 - 2019",DIV,"Pittsylvania County Public Schools",Homeless,16,13,,
"2018 - 2019",DIV,"Pittsylvania County Public Schools",Male,3680,608,85.8,14.2
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Multiple Races",181,36,83.4,16.6
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Students with Disabilities",830,209,79.9,20.1
"2018 - 2019",DIV,"Pittsylvania County Public Schools",White,4959,849,85.4,14.6
"2018 - 2019",DIV,"Poquoson City Public Schools","All Students",1999,129,93.9,6.1
"2018 - 2019",DIV,"Poquoson City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Poquoson City Public Schools",Asian,38,0,100,0
"2018 - 2019",DIV,"Poquoson City Public Schools",Black,20,2,90.9,9.1
"2018 - 2019",DIV,"Poquoson City Public Schools","Economically Disadvantaged",306,55,84.8,15.2
"2018 - 2019",DIV,"Poquoson City Public Schools","English Learners",14,1,93.3,6.7
"2018 - 2019",DIV,"Poquoson City Public Schools",Female,966,67,93.5,6.5
"2018 - 2019",DIV,"Poquoson City Public Schools",Hispanic,69,1,98.6,1.4
"2018 - 2019",DIV,"Poquoson City Public Schools",Homeless,13,5,,
"2018 - 2019",DIV,"Poquoson City Public Schools",Male,1033,62,94.3,5.7
"2018 - 2019",DIV,"Poquoson City Public Schools","Multiple Races",51,2,96.2,3.8
"2018 - 2019",DIV,"Poquoson City Public Schools","Native Hawaiian",10,0,,
"2018 - 2019",DIV,"Poquoson City Public Schools","Students with Disabilities",200,25,88.9,11.1
"2018 - 2019",DIV,"Poquoson City Public Schools",White,1806,122,93.7,6.3
"2018 - 2019",DIV,"Portsmouth City Public Schools","All Students",11056,2107,84,16
